Max Dowman (web_name=Dowman, team=Arsenal)
Ethan Nwaneri (web_name=Nwaneri, team=Arsenal)
Fábio Ferreira Vieira (web_name=Fábio Vieira, team=Arsenal)
Ezri Konsa Ngoyo (web_name=Konsa, team=Arsenal)
Bruno Guimarães Rodriguez Moura (web_name=Bruno G., team=Arsenal)
Christos Tzolis (web_name=Tzolis, team=Arsenal)
Kosta Nedeljkovic (web_name=Nedeljkovic, team=Aston Villa)
Samuel Iling-Junior (web_name=Iling Jr, team=Aston Villa)
Johan Manzambi (web_name=Manzambi, team=Aston Villa)
Joao Gomes (web_name=Gomes, team=Aston Villa)
Alejandro Garnacho Ferreyra (web_name=Garnacho, team=Aston Villa)
Nicolas Jackson (web_name=N.Jackson, team=Aston Villa)
Brian Madjo (web_name=Madjo, team=Aston Villa)
Matteo Ruggeri (web_name=Ruggeri, team=Aston Villa)
Zion Suzuki (web_name=Suzuki, team=Aston Villa)
Triston Rowe (web_name=Rowe, team=Aston Villa)
Luka Lynch (web_name=Lynch, team=Aston Villa)
Leon Goretzka (web_name=Goretzka, team=Aston Villa)
Will Dennis (web_name=Dennis, team=Bournemouth)
Julián Araujo Zúñiga (web_name=J.Araujo, team=Bournemouth)
Junior Kroupi (web_name=Kroupi.Jr, team=Bournemouth)
Francisco Evanilson de Lima Barbosa (web_name=Evanilson, team=Bournemouth)
Álvaro Rodríguez (web_name=Rodríguez, team=Bournemouth)
António João Pereira de Albuquerque Tavares da Silva (web_name=Silva, team=Bournemouth)
Juanlu Sánchez (web_name=Sanchez, team=Bournemouth)
Daniel Jebbison (web_name=Jebbison, team=Bournemouth)
Michele Di Gregorio (web_name=Di Gregorio, team=Bournemouth)
Kim Ji-soo (web_name=Ji-soo, team=Brentford)
Jannik Schuster (web_name=Schuster, team=Brentford)
Mamadou Sangaré (web_name=M.Sangaré, team=Brentford)
Diego Coppola (web_name=Coppola, team=Brighton)
João Pedro Loureiro da Costa (web_name=Costinha, team=Brighton)
Michael Svoboda (web_name=Svoboda, team=Brighton)
Mitoma Kaoru (web_name=Mitoma, team=Brighton)
Tom Watson (web_name=Watson, team=Brighton)
Zadok Yohanna (web_name=Yohanna, team=Brighton)
Evan Ferguson (web_name=Ferguson, team=Brighton)
Luka Vušković (web_name=Vuskovic, team=Brighton)
Promise David (web_name=David, team=Brighton)
Ibrahim Osman (web_name=Osman, team=Brighton)
Malick Yalcouyé (web_name=Yalcouyé, team=Brighton)
Jaouen Hadjam (web_name=Hadjam, team=Brighton)
Amario Cozier-Duberry (web_name=Cozier-Duberry, team=Brighton)
Emiliano Martínez Romero (web_name=Martinez, team=Chelsea)
Marco Palestra (web_name=Palestra, team=Chelsea)
Jamie Bynoe-Gittens (web_name=Gittens, team=Chelsea)
Geovany Quenda (web_name=Quenda, team=Chelsea)
